url,RiskScore
http://www.crestonwood.com/router.php,0.8494
http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4,0.0959
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/89e6a3b4b063b8d/?cmd=_update&dispatch=89e6a3b4b063b8d1b&locale=_,0.84
http://rgipt.ac.in,0.7935
http://www.iracing.com/tracks/gateway-motorsports-park/,0.3819
http://appleid.apple.com-app.es/,0.0504
http://www.mutuo.it,0.0875
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,0.5326
http://vamoaestudiarmedicina.blogspot.com/,0.1347
https://parade.com/425836/joshwigler/the-amazing-race-host-phil-keoghan-previews-the-season-27-premiere/,0.3394
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,0.643
https://www.lifewire.com/tcp-port-21-818146,0.4582
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/,0.5837
http://html.house/l7ceeid6.html,0.1454
https://www.missfiga.com/,0.0793
http://wave.progressfilm.co.uk/time3/?logon=myposte,0.2245
https://www.chiefarchitect.com/,0.1136
http://beta.kenaidanceta.com/postamok/d39a2/source,0.3433
http://www.ktplasmachinery.com/cs/,0.444
http://www.2345daohang.com/,0.2924
http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/,0.1305
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark,0.8633
http://batvrms.net/deliver/D2017HL/u.php,0.7883
http://sophie-world.com/games/port-and-starboard,0.0233
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/bb14d7ff1fcbf29?cmd=_update&dispatch=bb14d7ff1fcbf29bb&locale=_us,0.408
https://polarklimatsgserver.blogspot.com/,0.1379
https://www.provenancevineyards.com/,0.5355
http://www.online-tech-tips.com/computer-tips/how-to-change-mac-address/,0.2553
http://secureupdate.appleld.com.duilawyeryork.com/ap/88b142e778d73f7,0.4784
http://www.inbioma.pe/rechnung-376440790464490488&amp;cgi3-viewkontakt-376440790464490488-007acctpagetype-376440790464490488=4674720-&amp;info@s-und-s-shop.de.html,0.4097
http://www.enkiquotes.com/,0.9658
http://mno.naomigoff.com/Apollo/bc28a52c2070ca93176244f59e1f19c6,0.8843
http://xh167894743.el.r.appspot.com/,0.6745
http://dichvuvnpt.com/home/components/com_user/bbtonline.html,0.5475
https://answers.yahoo.com/question/index?qid=20060914152716AAZTOSo,0.6558
https://www.chiostrodelbramante.it/,0.1327
http://swallowthisbitchpics.com/jpg/www.global.visa.com/myca/oce/emea/action/request_type=un_Activation/visa.html,0.7918
http://yummy-cummy-in-my-tummy.tumblr.com,0.5575
http://www.j-net.cn/cms,0.8746
http://press-preview.weebly.com,0.4547
http://realestateinvestordatabase.com/wp-content/plugins/portfolio-cpt/tax/login.php,0.3199
http://vufd.hyperphp.com/amzn,0.8063
http://www.courgeon-immobilier.fr/wp-content/uploads/2019/07/tpg/9ac6ba30463d0fb7974c06843717284c/,0.703
http://taccs.hu,0.5676
http://wiki.openstreetmap.org/wiki/Databases_and_data_access_APIs,0.7972
https://grassform-my.sharepoint.com/:b:/g/personal/accounts_grassform_co_uk/EYsmX_DhwSVAlooW1ETKf50BIChCl1rrAfmqvTLvySTLQQ?e=UbjoWA,0.7823
https://www.merriam-webster.com/dictionary/tabloid,0.8096
http://hotmailsecure.brilliantbokeh.com/HotmailNEW/,0.3406
https://www.bls.gov/oes/current/oes292035.htm,0.6866
http://vaportotal.net/catalog/language/english/product/special/index.php?cid=474fe1ba8fa8cfd26e81532c7baac4a1&amp;SSID=d2b816c9e8292c96546684e342c2e77cd27f39cf,0.5454

https://www.123formbuilder.com/form-4850478/,0.3183
https://sura.careervidi.com/mot?fg=Z4Nwk2pibWKclbF2k29kaHd1YKCWjJyepKZdaXy0j2lj/koenig-sandra@online.de,0.9537
http://phan.thuchao.free.fr/Hao/YouTube/ba.htm,0.1398
https://ru.wikipedia.org/wiki/MultiMedia_Card,0.1848
http://www.astroresidential.co.uk/application/data/,0.0077
http://www.nakamistrad.com/aa/test.php,0.6362
http://www.shadetreetechnology.com/V4/validation/44ccd8b487c7fe797dc775e919236002,0.9372
http://searchnetworking.techtarget.com/tip/Comparisons-of-coaxial-cable-fiber-optic-cable-and-twisted-pair-cable,0.7429
https://sites.google.com/site/ilyasdxih,0.9892
